,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
430,Pangnirtung,90,CA,75,66.15,-65.71,-16.6,3.36
431,Tawang,0,IN,74,27.58,91.87,24.22,3.6
432,Thohoyandou,25,ZA,91,-22.95,30.48,70.0,4.5
433,Vanavara,100,RU,98,60.34,102.28,-2.16,4.59
434,Rawlins,40,US,62,41.79,-107.24,22.19,26.4
435,Coyhaique,4,CL,35,-45.58,-72.07,73.4,11.41
436,Narsaq,98,GL,46,60.92,-46.05,10.4,4.7
437,Muscat,20,OM,59,23.61,58.59,62.6,6.93
438,Devon,75,GB,81,50.75,-3.75,46.17,11.41
439,Shimoda,2,JP,59,34.67,138.95,42.44,1.01
440,Nampula,75,MZ,94,-15.12,39.27,75.2,6.93
441,Socorro,1,US,10,31.65,-106.3,67.01,5.82
442,Evensk,98,RU,75,61.95,159.23,2.03,11.14
443,Khartoum,0,SD,19,15.55,32.53,66.2,9.17
444,Bilma,99,NE,26,18.69,12.92,64.81,12.24
445,Xichang,58,CN,94,27.9,102.26,30.36,2.82
446,Ciudad Lazaro Cardenas,41,MX,73,17.96,-102.2,80.46,3.09
447,Akureyri,90,IS,80,65.68,-18.09,33.8,19.46
448,Windhoek,41,NA,77,-22.56,17.08,68.36,9.17
449,Varkala,40,IN,88,8.73,76.71,77.0,4.7
450,Turukhansk,100,RU,92,65.82,87.98,5.65,14.92
451,Deputatsky,1,RU,67,69.3,139.9,-23.87,3.42
452,Ust-Maya,100,RU,98,60.42,134.53,-17.77,2.19
453,Sibut,67,CF,26,5.72,19.07,68.74,1.34
454,Biltine,27,TD,15,14.53,20.92,65.57,8.16
455,Rafraf,20,TN,93,37.19,10.18,47.34,3.36
456,Pacific Grove,1,US,66,36.62,-121.92,53.6,3.36
457,Port Lincoln,0,AU,69,-34.73,135.87,69.8,8.84
458,Itaqui,44,BR,47,-29.13,-56.55,88.29,14.29
459,Ko Samui,20,TH,78,9.54,99.94,80.6,10.29
460,Nong Han,22,TH,88,17.36,103.11,66.2,4.88
461,Gari,96,RU,92,59.43,62.35,22.78,9.84
462,Aracati,91,BR,85,-4.56,-37.77,78.08,6.89
463,Houston,90,US,100,29.76,-95.36,62.22,5.82
464,Sarangani,55,PH,73,5.4,125.46,82.18,4.47
465,Catherinas Lust,35,GY,80,6.4,-57.6,79.34,18.99
466,Arys,90,KZ,92,42.43,68.8,24.8,0.29
467,Quang Ngai,98,VN,72,15.12,108.8,72.34,3.8
468,Takaungu,3,KE,82,-3.68,39.86,81.36,11.01
469,Cacoal,100,BR,92,-11.44,-61.45,75.85,3.27
470,Romny,98,UA,95,50.75,33.47,33.1,5.26
471,Leh,75,IN,86,34.17,77.58,0.55,7.09
472,Garbolovo,90,RU,80,60.34,30.5,36.21,8.95
473,Bud,1,US,80,39.45,-86.18,39.36,4.7
474,Terre Haute,90,US,80,39.47,-87.41,39.45,4.21
475,Talcahuano,5,CL,72,-36.72,-73.12,66.2,16.11
476,Parry Sound,70,CA,96,45.35,-80.03,25.0,3.22
477,Bara,0,NG,25,10.37,10.73,73.85,7.2
478,Lorengau,99,PG,77,-2.02,147.27,83.25,25.7
479,Washington,90,US,85,47.5,-120.5,19.47,4.7
480,Amga,99,RU,98,60.9,131.96,-8.1,1.9
481,Riachao das Neves,0,BR,70,-11.75,-44.91,73.31,2.04
482,Zemio,74,CF,28,5.03,25.14,65.3,3.85
483,Marawi,50,PH,91,8.0,124.29,75.0,4.0
484,Upata,40,VE,90,8.01,-62.4,69.26,5.44
485,Nizhniy Odes,99,RU,96,63.64,54.86,2.07,7.05
486,Yeppoon,20,AU,58,-23.13,150.73,82.4,8.05
487,Ejido,94,VE,96,8.55,-71.24,45.63,2.89
488,Worksop,100,GB,87,53.3,-1.12,42.96,18.34
489,Abu Dhabi,39,AE,59,24.47,54.37,63.45,6.93
490,Grand-Santi,65,GF,98,4.25,-54.38,72.82,2.33
491,Ciudad Bolivar,92,VE,63,8.12,-63.55,79.0,14.29
492,Cajati,100,BR,86,-24.74,-48.12,67.91,1.92
493,Magnor,64,SE,93,59.95,12.2,35.53,9.17
494,Pacifica,75,US,66,37.61,-122.49,54.19,9.17
495,Abay,75,KZ,84,49.63,72.85,8.6,15.66
496,Skerries,75,IE,75,53.58,-6.11,40.3,13.87
497,Letlhakane,0,BW,63,-21.42,25.58,72.97,4.88
498,Dawlatabad,50,AF,62,36.41,64.91,31.24,5.84
499,Kant,50,IN,77,27.8,79.8,54.7,2.75
500,Whitehorse,5,CA,73,60.72,-135.05,-32.44,2.24
501,Kununurra,40,AU,88,-15.77,128.73,78.8,4.7
502,Hambantota,92,LK,73,6.12,81.12,76.24,16.71
503,Oktyabrskoye,2,RU,55,43.06,44.74,29.62,3.85
504,Dumai,93,ID,87,1.68,101.45,74.82,3.44
505,Aleksandrov Gay,98,RU,96,50.15,48.57,29.91,14.05
506,Wagar,0,SD,87,16.15,36.2,57.83,9.19
507,Acari,87,PE,85,-15.43,-74.62,64.51,3.15
508,Grenville,20,GD,74,12.12,-61.62,80.6,11.41
509,Huarmey,13,PE,71,-10.07,-78.15,71.42,5.86
510,Beira,75,MZ,94,-19.84,34.84,77.0,3.36
511,Lavrentiya,1,RU,76,65.58,-171.0,2.16,13.04
512,Bilibino,78,RU,99,68.05,166.44,-29.18,1.79
513,Moerai,94,PF,78,-22.43,-151.33,77.0,13.98
514,Dubbo,63,AU,50,-32.25,148.62,78.8,17.22
515,Villacarrillo,98,ES,77,38.12,-3.08,39.99,2.26
516,Muros,90,ES,100,42.78,-9.06,53.56,19.46
517,Klyuchi,0,RU,92,52.27,79.17,2.53,11.39
518,Iralaya,75,HN,78,15.0,-83.23,82.4,9.17
519,Cidreira,21,BR,70,-30.18,-50.21,73.83,16.71
520,Korla,100,CN,67,41.76,86.15,16.36,1.12
521,Springbok,18,ZA,40,-29.66,17.89,67.71,5.08
522,Lusambo,67,CD,85,-4.97,23.45,70.92,0.98
523,Kyshtovka,100,RU,92,56.55,76.63,8.76,14.74
524,Sitka,1,US,32,57.05,-135.33,21.51,4.54
525,Methoni,89,GR,87,36.82,21.7,49.6,2.24
526,Luganville,100,VU,95,-15.53,167.17,77.09,3.98
527,Avanuorri,90,NO,100,71.0,24.66,29.44,4.7
528,Giurgeni,0,RO,100,44.77,27.88,27.61,5.82
529,Marsberg,85,DE,75,51.46,8.85,44.73,17.22
530,Adrar,9,MR,29,20.5,-10.07,53.67,10.87
531,Yaan,0,NG,52,7.38,8.57,81.9,8.7
532,Goderich,100,CA,82,43.75,-81.72,33.51,1.01
533,Katobu,100,ID,80,-4.94,122.53,81.59,1.03
534,Tula,14,RU,93,54.2,37.61,22.91,8.16
535,Bukachacha,50,RU,99,52.98,116.92,-17.99,1.16
536,Fairbanks,90,US,84,64.84,-147.72,-2.29,1.32
537,Bereda,75,ES,87,43.27,-7.54,52.21,16.11
538,Iberia,90,US,100,29.95,-91.75,63.73,4.7
539,Nouadhibou,19,MR,39,20.93,-17.03,64.4,5.82
540,Holland,90,US,86,42.79,-86.11,32.25,4.7
541,Sobolevo,100,RU,98,54.43,31.9,33.42,8.5
542,Virginia Beach,75,US,87,36.85,-75.98,60.12,6.93
543,Batticaloa,93,LK,89,7.71,81.69,66.43,3.29
544,Mvuma,35,ZW,90,-19.28,30.53,64.47,4.0
